 0	1	0	0	0	0	|	0	0	0	|	0
 1	1	1	0	0	0	|	0	0	1	|	0
 2	0	1	1	0	0	|	0	1	0	|	0
 3	1	0	1	1	0	|	0	1	1	|	0
 4	0	1	0	1	1	|	1	1	0	|	0
 5	1	0	1	0	1	|	0	1	1	|	1
 6	0	1	0	1	0	|	1	1	0	|	1
 7	0	0	1	0	1	|	1	0	0	|	0
 8	1	0	0	1	0	|	1	1	1	|	1
 9	0	1	0	0	1	|	1	1	0	|	0
10	0	0	1	0	0	|	1	0	0	|	1
11	0	0	0	1	0	|	0	0	0	|	0
12	1	0	0	0	1	|	1	1	1	|	0
13	0	1	0	0	0	|	1	1	0	|	1
14	1	0	1	0	0	|	0	1	1	|	0
15	1	1	0	1	0	|	0	0	1	|	0
16	1	1	1	0	1	|	1	0	1	|	0
17	1	1	1	1	0	|	1	0	1	|	1
18	1	1	1	1	1	|	1	0	1	|	0
19	0	1	1	1	1	|	0	1	0	|	1
20	1	0	1	1	1	|	0	1	1	|	1
21	1	1	0	1	1	|	0	0	1	|	1
22	0	1	1	0	1	|	0	1	0	|	1
23	0	0	1	1	0	|	1	0	0	|	1
24	1	0	0	1	1	|	1	1	1	|	0
25	1	1	0	0	1	|	0	0	1	|	1
26	1	1	1	0	0	|	1	0	1	|	1
27	0	1	1	1	0	|	0	1	0	|	0
28	0	0	1	1	1	|	1	0	0	|	0
29	0	0	0	1	1	|	0	0	0	|	1
30	0	0	0	0	1	|	0	0	0	|	1
31	1	0	0	0	0	|	1	1	1	|	1
